ID,User,date,review,rating,type,sentiment
6,.*****1,"2024-04-17 22:14 | Phân loại hàng: Quần Jean,S",,,normal,
17,anhduongnee_,"2023-03-01 18:00 | Phân loại hàng: Đen,S","Chất liệu: khong bítMàu sắc: đenĐúng với mô tả: 👍quần hơi dài, mình 1m53 35kg mặc dài qua tí xíu. Hàng của chất lượng lắm lun ý",,normal,"{'positive':95%,'negative':5%}"
16,anhthngl441,"2024-07-31 20:08 | Phân loại hàng: Full Set,S",,,normal,
15,anhthu1313,2018-07-11 21:29,Quần siêu đẹp Shop phục vụ rất tốt Rất đáng tiền,,normal,"{'positive':100%,'negative':0%}"
17,anhtong1405,"2023-07-09 17:20 | Phân loại hàng: Đen,XL",Màu sắc: đenquần đẹp lắm ạ nên mua nha mn 🥹,,normal,"{'positive':100%,'negative':0%}"
7,anlanlanlanl,"2024-03-02 12:10 | Phân loại hàng: Áo Trễ Vai,M",@運命: Đi bệnh viện đi các bạn ơi minh khuyên thật vừa rẻ vừa nhanh đỡ chứ ra tiệm thuốc mua loại này nó không đỡ đâu con tốn nhiều tiền hơn🥰,,normal,"{'positive':10%,'negative':90%}"
8,annghialt,"2023-07-12 12:22 | Phân loại hàng: Xám,M","Hàng y hình. Rất đẹp. Vải co giãn, nhẹ. Form quần nhẹ nhàng mà đẹp. Rất ưng.",,normal,"{'positive':100%,'negative':0%}"
10,annguyen2004176,"2023-06-22 00:24 | Phân loại hàng: ÁO CROPTOP HOA,M",1báo cáo,,normal,"{'positive':0%,'negative':100%}"
11,annmabel,2023-01-04 21:02 | Phân loại hàng: Đen - L,"Chất liệu: kakiMàu sắc: màu đenĐúng với mô tả: đúngQuần đẹp,chất vải dày dặn,đáng mua nha.Mà quần mới lấy ra có mùi quá.",,normal,"{'positive':80%,'negative':20%}"
11,apwuo3r1as,2022-08-11 18:29 | Phân loại hàng: M,Chất liệu: đẹp dày dặnMàu sắc: nâuchất đẹp form đẹp lắm ạ,,normal,"{'positive':100%,'negative':0%}"
13,ari_2104,"2022-11-20 18:37 | Phân loại hàng: 5,M",Chất liệu: bthMàu sắc: nâuko đẹp lắm,,normal,"{'positive':100%,'negative':0%}"
17,armybtsforever30,"2023-01-06 20:54 | Phân loại hàng: Đen,S","Chất liệu: vải dùMàu sắc: đenĐúng với mô tả: đẹpOmg xinh lắm lun áaaaaaa, tuỵt zời🤌✨",,normal,"{'positive':100%,'negative':0%}"
6,b*****1,"2024-07-23 08:46 | Phân loại hàng: Quà Tặng Buộc Tóc,XL",,,normal,
17,b*****2,"2023-04-15 10:38 | Phân loại hàng: Xám,L",,,normal,
17,b*****2,"2023-07-25 09:24 | Phân loại hàng: Đen,XL",,,normal,
17,b*****6,"2023-07-20 12:35 | Phân loại hàng: Đen,S",,,normal,
17,b*****6,"2023-07-20 12:37 | Phân loại hàng: Đen,XL",,,normal,
4,b*****g,"2024-07-07 23:00 | Phân loại hàng: Chun buộc tóc,S",,,normal,
4,babyalexi,"2024-05-03 05:55 | Phân loại hàng: Xám Đen,M",Xuất sắc nhé,,normal,"{'positive':100%,'negative':0%}"
11,bana93,2023-01-02 07:27 | Phân loại hàng: Đen - XXL,"Hàng đẹp vải đúng chuẩn quảng châu luôn và chất lượng lắm, giao hàng nhanh, mình sẽ ủng hộ shop tiếp tục",,normal,"{'positive':100%,'negative':0%}"
11,bana93,2023-02-04 13:47 | Phân loại hàng: Kem - XXL,"Mua ở shop lần 2 và chất lượng lắm. Giao hàng nhanh nữa, sẽ ủng hộ shop tiếp tục, hình ảnh mang tính chất nhận xu",,normal,"{'positive':95%,'negative':5%}"
17,banhbao0508,"2022-12-15 20:07 | Phân loại hàng: Xanh Rêu,L","Màu sắc: xanhĐúng với mô tả: quần đẹpChất liệu: vải tàm tạmQuần thật sự đẹp y hình nhưng mới bỏ máy giặt có 1 lần mà nó rách cái bẹn thành 2 lổ luôn🥲,tr ơi tui nói nó tiếc cái quần dễ sợ",,normal,"{'positive':60%,'negative':40%}"
17,baoduonggia350,"2023-02-05 01:00 | Phân loại hàng: Đen,XXL",ảnh đó là lí do gì để lên cấp trên trực tiếp với em là ngày cuối năm mới 6,,normal,"{'positive':0%,'negative':100%}"
16,baohoang28924,"2024-04-08 21:19 | Phân loại hàng: Quần Ribbon Hồng,S",,,normal,
8,baonghi0258,"2023-08-10 01:14 | Phân loại hàng: Hồng,S","Quần đẹp nhưng chất vải mỏng, với giá 300 mấy mà chất vải như v mình thấy k đáng. Màu quần tươi với đậm hơn xíu nha, do mình đã giặt 2 lần ròi, à quần có ra màu nha nên giặt riêng nhé",,normal,"{'positive':40%,'negative':60%}"
17,beo.0507.14,"2022-11-11 10:58 | Phân loại hàng: Xanh Rêu,S",Đẹp,,normal,"{'positive':100%,'negative':0%}"
7,bettydsw,2019-08-20 19:44 | Phân loại hàng: Áo Vest,"Hàng chất lượng, đẹp hơn hình, đóng gói chắc chắn, kĩ càng, nhân viên tư vấn nhiệt tình, yêu shop nhiềuuu ❤️😘! Ship hàng nhanh chóng! Cảm ơn shop nhiềuuuuu",,normal,"{'positive':100%,'negative':0%}"
14,bgyuvdtbb,"2021-12-27 09:23 | Phân loại hàng: Đỏ,XL","Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.",,normal,"{'positive':50%,'negative':50%}"
18,bin318966220,"2022-11-07 11:49 | Phân loại hàng: 10,M",,,normal,
11,binasi2000,2023-06-29 10:37 | Phân loại hàng: Đen - L,"Chất liệu: vải kakiĐúng với mô tả: đúngMàu sắc: đen, xanh rêuQuần siêu đẹp vải dày dặn cầm đầm tay",,normal,"{'positive':100%,'negative':0%}"
20,binhpsnlt04,"2019-12-03 19:15 | Phân loại hàng: Đen,M",Chất vải mềm nhưng vẫn đứng form đc. Shop ib siêu tận tình còn đổi size giúp mình nữa nhưng vẫn rộng hơn mình tưởng hic. Rất thích cách làm việc của shop. Chưa kịp chụp nên lấy đỡ ảnh này. Sẵn tiện e pass áo trong hình luôn ạ:)) ai qtam vào trang e nha. Áo còn chưa tháo tag,,normal,"{'positive':95%,'negative':5%}"
16,bsmqkw89m2,"2024-06-11 18:08 | Phân loại hàng: Quần Ribbon Xám,XL","Màu sắc: hơi tối so với hình nhưng cx dcShop giao nhanh lắm luôn ý , nchuyen dthw nữaaaa , lịch sự thân thiện lắmmmm 🫶 (hinh anh mang tinh chat minh hoa)",,normal,"{'positive':90%,'negative':10%}"
13,btrbtraha23,"2023-02-08 08:03 | Phân loại hàng: 1,S",Chất liệu: dep iMàu sắc: brownĐúng với mô tả: yup,,normal,"{'positive':100%,'negative':0%}"
6,bubusasa123456789,"2023-04-20 19:31 | Phân loại hàng: Trắng,L",,,normal,
8,bui_van_thinh11,"2023-08-02 17:52 | Phân loại hàng: Quà tặng,L",Chọn cỡ to giao cỡ nhỏ nhất,,normal,"{'positive':50%,'negative':50%}"
18,buihan05,"2024-03-18 07:52 | Phân loại hàng: Hình 2,XL",,,normal,
18,buihan05,"2024-05-07 21:34 | Phân loại hàng: Trắng Phối Nơ,XL",,,normal,
17,buihuuphi,"2022-12-07 07:26 | Phân loại hàng: Đen,M","Mk mặc hơi rộng nhìn buồn cười lắm , bạn nào muốn mặc thì ib mk nha",,normal,"{'positive':70%,'negative':30%}"
10,bulth045,"2024-07-05 00:25 | Phân loại hàng: QUẦN JEAN NHÚNG,S",Ko cos túi quần 😫,,normal,"{'positive':0%,'negative':100%}"
16,buungocc,"2024-04-10 19:27 | Phân loại hàng: Full Set,L",mình xin gửi lịch của chương trình quý 1 và quý 2 để chúng ta biết rõ hơn và sắp xếp thời gian nhóm nhé,,normal,"{'positive':0%,'negative':0%}"
11,bypx383uus,2022-11-20 18:52 | Phân loại hàng: Nâu Rêu - L,"Chất liệu: kakiMàu sắc: xanhĐúng với mô tả: đúng mô tảHàng đẹp , giao nhanh , m đặt 1 chiếc xong đẹp quá nên đặt thêm cho bồ 1 cái cũng đẹp k kém :))) nói chung chất lượng 10đ",,normal,"{'positive':90%,'negative':0%}"
6,c*****4,"2024-05-08 14:06 | Phân loại hàng: Quần Jean,L",,,normal,
10,c*****4,"2023-06-17 15:06 | Phân loại hàng: Chun buộc tóc,L",,,normal,
16,c*****5,"2024-05-18 11:54 | Phân loại hàng: Quần Ribbon Xám,M",,,normal,
6,c*****6,"2024-05-26 15:27 | Phân loại hàng: Quần Jean,S",,,normal,
10,c*****6,"2023-08-07 08:57 | Phân loại hàng: QUẦN JEAN NHÚNG,M",,,normal,
17,c*****i,"2022-12-18 01:12 | Phân loại hàng: Xanh Rêu,XXL",,,normal,
18,c*****o,"2023-07-06 23:59 | Phân loại hàng: Pennes,S",,,normal,
18,caolary,"2024-03-12 20:39 | Phân loại hàng: Columbia,S",,,normal,
11,chang250193,2022-08-25 14:38 | Phân loại hàng: S,"Chất liệu: kakiMàu sắc: đúngĐúng với mô tả: đúngMàu xinh dáng chuẩn , mình 1 m 52 chắc phải lưen tầm 6-7 phân mới đẹp",,normal,"{'positive':100%,'negative':0%}"
17,channmeyy_,"2023-06-22 03:24 | Phân loại hàng: Đen,S","Ảnh mang tính nhận xu, giao hàng nhanh, đóng gói cẩn thận, chất vải k bị quá nóng, đẹp nhưng phần chun hơi to",,normal,"{'positive':80%,'negative':20%}"
11,chauquengoc.momo,2022-08-10 23:58 | Phân loại hàng: XXL,"Chất liệu: vẢiMàu sắc: đúng như hìnhĐúng với mô tả: đúng òi áMua size lớn nhất rùi nhưng 70kg tui k bận vừa nên pass lại cho nhỏ ròm 42kg bận bóp eo xíu 😂😂, nhưng quần đẹp nha mn, vải dày đẹp lắm, ai mập như tui cân nhắc nhén, ốm bận đẹp gê, tiếc gê 🥲.",,normal,"{'positive':85%,'negative':15%}"
2,chichichiiiiii,"2024-07-30 08:55 | Phân loại hàng: Áo Trễ Vai Đen,XL","Màu sắc: xanhĐúng với mô tả: đúngChất liệu: tốtQuần jean co giãn tốt, màu đẹp, giá rẻ hơn ngoài, shop tư vấn chu đáo, ship thân thiện.",,bot,"{'positive':100%,'negative':0%}"
2,chichichiiiiii,"2024-08-02 09:29 | Phân loại hàng: Áo Trễ Vai Đen,XL",Màu sắc: đenChất liệu: tốtĐúng với mô tả: tốtLúc đầu mình không kỳ vọng nhiều vì mua online. Nhưng khi nhận rất ok nha chất vải và mẫu đẹp so với giá tiền. Ship giao hành nhanh và thân thiện.,,bot,"{'positive':95%,'negative':0%}"
2,chichichiiiiii,"2024-08-02 09:44 | Phân loại hàng: Áo Trễ Vai Đen,XL","Đã mua nhiều lần và vẫn hài lòng như ngày đầu tiên. Sản phẩm chất lượng, giá cả phải chăng nhé mọi người",,bot,"{'positive':100%,'negative':0%}"
2,chichichiiiiii,"2024-08-08 15:35 | Phân loại hàng: Full set Áo + Quần,XL","Hàng rất đẹp, mình mua cả áo lẫn quần nên được giá rẻ so với chất lượng, quần lên form đẹp, siêu xinh ak, chuẩn như ảnh nhé, sẽ tiếp tục ủng hộ shop 💗",,bot,"{'positive':100%,'negative':0%}"
8,chichichiiiiii,"2024-08-02 09:43 | Phân loại hàng: Quà tặng,M","Chất liệu: tốtMàu sắc: đẹpĐúng với mô tả: tốtĐã mua nhiều lần và vẫn hài lòng như ngày đầu tiên. Sản phẩm chất lượng, giá cả phải chăng nhé mọi người",,bot,"{'positive':100%,'negative':0%}"
9,chichichiiiiii,"2024-08-08 15:29 | Phân loại hàng: Áo Da Đen 03,XL","Đúng với mô tả: tốtChất liệu: tốtMàu sắc: tốtGiao hàng nhanh, đúng màu đúng size mình đặt mặc lên bao ngầu, mê lắm ủng hộ shop dài nếu có thêm nhiều mẫu áo váy đẹp như vầy nhen",,bot,"{'positive':100%,'negative':0%}"
9,chichichiiiiii,"2024-08-08 15:34 | Phân loại hàng: Áo Da Đen 03,M","Hàng rất đẹp, mình mua cả áo lẫn chân váy nên được giá rẻ so với chất lượng, quần lên form đẹp, siêu cute, chuẩn như ảnh nhé, sẽ tiếp tục ủng hộ shop 💗",,bot,"{'positive':100%,'negative':0%}"
11,chouvu760,2023-06-25 12:33 | Phân loại hàng: Xanh Rêu - S,"( ảnh minh hoạ ) quần đúng màu, chất lượng vải tương đối tốt. Còn ủng hộ shop nhiều sản phầm nữa ạ",,normal,"{'positive':90%,'negative':10%}"
11,chowwwwww,2022-08-25 10:51 | Phân loại hàng: M,Cách phục vụ của shop rất chi là ok ạ Quần đẹp lắm nha,,normal,"{'positive':90%,'negative':0%}"
20,chucchi3005,"2019-12-27 17:43 | Phân loại hàng: Đen,S",Quần êm lắm luônnn,,normal,"{'positive':100%,'negative':0%}"
13,co_po,"2024-01-21 01:15 | Phân loại hàng: 3,S",Giao hàng nhanh. Đóng gói cẩn thận. Vải dày dặn. Đẹp. Sẽ ủng hộ. Cảm ơn.,,normal,"{'positive':100%,'negative':0%}"
5,congnguyen111168,"2024-06-26 18:54 | Phân loại hàng: XANH,S",Nên mua nha mọi người ưi Hàng oki la đóng gói cũng oki nữa nè ahihi,,normal,"{'positive':95%,'negative':5%}"
16,cotugrocery91,"2024-04-01 14:16 | Phân loại hàng: Full Set,M",,,normal,
16,cuctran434,"2024-04-27 00:28 | Phân loại hàng: Full Set,S",,,normal,
4,d*****1,"2023-12-02 20:10 | Phân loại hàng: Xám Đen,L",,,normal,
16,d*****2,"2024-04-15 22:02 | Phân loại hàng: Quần Ribbon Xám,S",,,normal,
11,d*****3,2022-09-10 00:27 | Phân loại hàng: L,,,normal,
13,d*****7,"2023-01-01 09:53 | Phân loại hàng: 2,S",,,normal,
10,d*****9,"2023-05-27 21:18 | Phân loại hàng: Chun buộc tóc,S",,,normal,
17,d*****9,"2022-12-21 06:27 | Phân loại hàng: Đen,M",,,normal,
20,d*****l,"2021-05-29 23:30 | Phân loại hàng: Đen,S","Rất thất vọng! Lúc mình mua trực tiếp ở shop thì được quần ngon ơ luôn, nên về đặt thêm cái nữa cho chị mình mà ai dè nó 1 trời 1 vực.Chất vải rũ, mỏng và bóng, form quần cũng không đẹp, đặc biệt là lưng CHUN mặc lên cứ bị dúng nhìn kì lắm, nên cân nhắc khi mua,với giá này, chất này theo mình là mắc",,normal,"{'positive':0%,'negative':100%}"
17,d*****n,"2023-01-06 15:55 | Phân loại hàng: Đen,M",,,normal,
17,d*****u,"2022-12-14 20:18 | Phân loại hàng: Đỏ,M",,,normal,
